key,kind,name,ref_count,role,note
AimiLongKey.LastLegacyPrebolusTime,AimiLongKey,LastLegacyPrebolusTime,2,persist,"Written during the tick. This is engine/effect state stored in prefs, not only config."
AimiLongKey.LastPrebolusTime,AimiLongKey,LastPrebolusTime,2,persist,"Written during the tick. This is engine/effect state stored in prefs, not only config."
AimiLongKey.PendingLegacyPrebolusExpiry,AimiLongKey,PendingLegacyPrebolusExpiry,2,persist,"Written during the tick. This is engine/effect state stored in prefs, not only config."
AimiLongKey.PendingLegacyPrebolusUnitMilli,AimiLongKey,PendingLegacyPrebolusUnitMilli,2,persist,"Written during the tick. This is engine/effect state stored in prefs, not only config."
AimiStringKey.OApsAIMIPkpdLastPeakGovConsoleEchoed,AimiStringKey,OApsAIMIPkpdLastPeakGovConsoleEchoed,2,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
AimiStringKey.OApsAIMIPkpdLastPeakGovLogLine,AimiStringKey,OApsAIMIPkpdLastPeakGovLogLine,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
AimiStringKey.PregnancyDueDateString,AimiStringKey,PregnancyDueDateString,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.AimiAuditorEnabled,BooleanKey,AimiAuditorEnabled,2,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.AimiPhysioAssistantEnable,BooleanKey,AimiPhysioAssistantEnable,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIBasalChannelSafetyGuards,BooleanKey,OApsAIMIBasalChannelSafetyGuards,2,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIBasalProjectedError,BooleanKey,OApsAIMIBasalProjectedError,2,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIBasalSlewLimitEnabled,BooleanKey,OApsAIMIBasalSlewLimitEnabled,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIBasalTerminalInvariants,BooleanKey,OApsAIMIBasalTerminalInvariants,2,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIContextEnabled,BooleanKey,OApsAIMIContextEnabled,4,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIDiaGovernorEnabled,BooleanKey,OApsAIMIDiaGovernorEnabled,2,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIEffectiveIobReleaseEnabled,BooleanKey,OApsAIMIEffectiveIobReleaseEnabled,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIEffortActivityProtection,BooleanKey,OApsAIMIEffortActivityProtection,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIEnableBasal,BooleanKey,OApsAIMIEnableBasal,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
