line,indent,name,class,confidence,persist_policy,note,declaration
1342,4,adaptiveMult,LEARNER_STATE,ANNEX8_OPEN,unknown,Annex 8: learner state or computed value. Do not merge yet.,private var adaptiveMult: Double = 1.0
1343,4,cachedPumpAgeDays,CACHE,HEURISTIC,rebuild,Acquisition or tick cache. Do not move into the KMP engine.,@Volatile private var cachedPumpAgeDays: Float = 0f
1345,4,cachedLastSmb,CACHE,HEURISTIC,rebuild,Acquisition or tick cache. Do not move into the KMP engine.,@Volatile private var cachedLastSmb: BS? = null
1357,4,lastBasalLearnerHypoNotifyMs,EFFECT,ANNEX8,reset,"Learner notification anti-spam. Platform, not engine.",@Volatile private var lastBasalLearnerHypoNotifyMs: Long = 0L
1358,4,lastBasalLearnerHyperNotifyMs,EFFECT,ANNEX8,reset,"Learner notification anti-spam. Platform, not engine.",@Volatile private var lastBasalLearnerHyperNotifyMs: Long = 0L
1367,4,cachedEffectiveProfile,CACHE,HEURISTIC,rebuild,Acquisition or tick cache. Do not move into the KMP engine.,@Volatile private var cachedEffectiveProfile: EffectiveProfile? = null
1374,4,lastLoopCgmNoise,INPUT,HEURISTIC,n/a,CGM noise copy from this tick input.,private var lastLoopCgmNoise: Double = 0.0
1816,4,lateFatRiseFlag,ENGINE_STATE,HEURISTIC,unknown,Cross-tick memory on freeze. CORE must confirm.,private var lateFatRiseFlag: Boolean = false
1820,4,highBgOverrideUsed,ENGINE_STATE,ANNEX8,unknown,Annex 8 cross-tick memory.,private var highBgOverrideUsed = false
10314,4,lastHypoBlockAt,ENGINE_STATE,ANNEX8,unknown,Annex 8 cross-tick memory.,private var lastHypoBlockAt: Long = 0L
10315,4,hypoClearCandidateSince,ENGINE_STATE,ANNEX8,unknown,Annex 8 cross-tick memory.,private var hypoClearCandidateSince: Long? = null
10318,4,lastBgRiseFastNightMs,ENGINE_STATE,ANNEX8,unknown,Annex 8 cross-tick memory.,private var lastBgRiseFastNightMs: Long = 0L
10319,4,mealModeSmbReason,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var mealModeSmbReason: String? = null
10320,4,consoleError,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var consoleError = mutableListOf<String>()
10321,4,consoleLog,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var consoleLog = mutableListOf<String>()
10338,4,csvPrimaryStorageDeniedLogged,TELEMETRY,HEURISTIC,n/a,Trace / export of this tick.,private var csvPrimaryStorageDeniedLogged = false
10341,4,bgacc,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var bgacc = 0.0
10342,4,predictedSMB,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var predictedSMB = 0.0f
10343,4,variableSensitivity,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var variableSensitivity = 0.0f
10344,4,averageBeatsPerMinute,INPUT,HEURISTIC,n/a,"HR window copy. Missing must stay Missing, not 0.",private var averageBeatsPerMinute = 0.0
10345,4,averageBeatsPerMinute10,INPUT,HEURISTIC,n/a,HR window copy.,private var averageBeatsPerMinute10 = 0.0
10346,4,averageBeatsPerMinute60,INPUT,HEURISTIC,n/a,HR window copy.,private var averageBeatsPerMinute60 = 0.0
10347,4,averageBeatsPerMinute180,INPUT,HEURISTIC,n/a,HR window copy.,private var averageBeatsPerMinute180 = 0.0
10348,4,eventualBG,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var eventualBG = 0.0
10349,4,now,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var now = System.currentTimeMillis()
10350,4,iob,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var iob = 0.0f
10351,4,cob,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var cob = 0.0f
10352,4,predictedBg,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var predictedBg = 0.0f
10353,4,lastCarbAgeMin,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var lastCarbAgeMin: Int = 0
10354,4,futureCarbs,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var futureCarbs = 0.0f
10355,4,lastCycleNotificationDay,EFFECT,ANNEX8,reset,"UX anti-spam. Annex 8: platform state, not engine.",private var lastCycleNotificationDay: Int = -1 // State for cycle notification spam prevention
10357,4,recentNotes,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var recentNotes: List<UE>? = null
10358,4,tags0to60minAgo,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,"private var tags0to60minAgo = """""
